,pop_evol (%),PIB 2013,kcal_total_capita_day,proteins_total_capita_day,proteins_animal_ratio,F1,F2,F3,F4
Très pauvres et très mal nourris,0.5561655239986036,-0.6343597151624221,-1.0573420209753859,-1.1046887072523819,-1.2203327365058265,-1.4055050843880839,2.7305120711220905,-0.454844216043726,-0.03447741601250918
Émirats arabes unis,9.190085447183398,1.3781349798674218,0.9904406299149756,1.2091972409417,-0.1626069049252624,7.575741859551625,-0.15678931772629678,0.05552427486559348,4.886724689755202e-05
Très riches et très bien nourris,-0.4071044166386578,2.2550267540081954,1.365959911128368,1.4233153723099448,1.225956229327048,-1.864238899513576,-2.493795370164699,-0.5886522348117391,0.012853244537250376
Riches et bien nourris,-0.5819746631899112,0.32257115289369087,0.743204068385564,0.9682855998490315,0.9546401534932015,-2.2847697101553988,-0.8156671540442101,0.6086123437080135,-0.07111494284846862
Pauvres et mal nourris,-0.1802516175290981,-0.300470338353651,0.07300387330068547,0.0068408971948298695,0.1592785228403287,-2.0212281654945654,0.7357397708131156,0.3793598322818582,0.09269024707683006
